ticket_id,customer_id,order_id,product,issue_type,ticket_text,priority,customer_sentiment,customer_tier,payment_method,delivery_partner,channel,location,assigned_team,status,requires_escalation,sla_breach,resolution_time_hours,resolution_suggestion,created_at
CHE-TKT0102,CUST7601,ORD29418,Shoes,Order Delay,My order for Shoes has not been delivered yet.,High,Satisfied,Gold,Credit Card,XpressBees,Mobile App,Chennai,Warehouse Operations,In Progress,No,No,20,Escalate to logistics support and provide updated ETA.,2026-04-28 22:08:26
BEN-TKT0103,CUST4968,ORD71701,Mobile Charger,App Issue,Retail app crashes during Mobile Charger purchase.,High,Satisfied,Gold,Debit Card,BlueDart,Email,Bengaluru,Payment Support,In Progress,Yes,No,24,Escalate to technical support for debugging.,2026-05-07 19:08:26
CHE-TKT0104,CUST5300,ORD19936,Jeans,Stock Issue,Jeans became out of stock after ordering.,Critical,Frustrated,Silver,Wallet,Delhivery,Chat,Chennai,Technical Support,Escalated,No,No,9,Validate inventory sync and suggest alternatives.,2026-04-24 22:08:26
CHE-TKT0105,CUST1145,ORD28398,Laptop Bag,Refund Issue,Refund not received for returned Laptop Bag.,Low,Angry,Silver,Wallet,Delhivery,Phone,Chennai,Warehouse Operations,Escalated,Yes,No,3,Escalate to finance support and verify refund status.,2026-05-24 13:08:26
CHE-TKT0106,CUST5628,ORD14395,Bluetooth Speaker,Order Delay,Shipment tracking for my Bluetooth Speaker has not updated.,High,Neutral,Silver,Debit Card,Delhivery,Phone,Chennai,Logistics Team,Escalated,No,No,25,Escalate to logistics support and provide updated ETA.,2026-05-03 04:08:26
CHE-TKT0107,CUST5475,ORD65515,Smartwatch,Cancellation Issue,Cancellation request failed for Smartwatch.,Critical,Frustrated,Silver,Debit Card,Delhivery,Mobile App,Chennai,Technical Support,Resolved,No,Yes,44,Verify cancellation eligibility and process request.,2026-04-27 16:08:26
DEL-TKT0108,CUST1168,ORD89553,Smartwatch,Payment Issue,Payment deducted for Smartwatch but order failed.,High,Frustrated,Platinum,Debit Card,BlueDart,Mobile App,Delhi,Technical Support,Escalated,Yes,Yes,36,Check payment gateway logs and transaction ID.,2026-04-26 13:08:26
BEN-TKT0109,CUST4504,ORD49083,Jeans,Payment Issue,Payment deducted for Jeans but order failed.,High,Satisfied,Silver,Credit Card,Delhivery,Phone,Bengaluru,Technical Support,Escalated,Yes,No,50,Check payment gateway logs and transaction ID.,2026-05-12 14:08:26
BEN-TKT0110,CUST8547,ORD74121,Headphones,Wrong Item,Incorrect Headphones was delivered.,Medium,Frustrated,Platinum,Debit Card,Ekart,Mobile App,Bengaluru,Technical Support,Resolved,Yes,Yes,52,Arrange replacement pickup and warehouse verification.,2026-04-28 18:08:26
PUN-TKT0111,CUST6360,ORD13060,Bluetooth Speaker,Order Delay,Delivery for my Bluetooth Speaker is delayed.,High,Satisfied,Platinum,UPI,Delhivery,Chat,Pune,Warehouse Operations,In Progress,No,No,45,Escalate to logistics support and provide updated ETA.,2026-04-24 21:08:26
BEN-TKT0112,CUST1200,ORD18270,Bluetooth Speaker,Wrong Item,Delivered item does not match my order.,Low,Neutral,Gold,Wallet,Delhivery,Email,Bengaluru,Payment Support,Resolved,Yes,Yes,25,Arrange replacement pickup and warehouse verification.,2026-05-06 09:08:26
CHE-TKT0113,CUST7478,ORD58453,Headphones,Order Delay,My order for Headphones has not been delivered yet.,High,Neutral,Gold,Debit Card,Ekart,Email,Chennai,Customer Support,Resolved,No,Yes,53,Escalate to logistics support and provide updated ETA.,2026-05-02 07:08:26
MUM-TKT0114,CUST2775,ORD18656,Bluetooth Speaker,Payment Issue,Amount deducted but no order confirmation received.,High,Neutral,Gold,UPI,XpressBees,Email,Mumbai,Logistics Team,Open,No,No,57,Check payment gateway logs and transaction ID.,2026-05-02 06:08:26
BEN-TKT0115,CUST9876,ORD67402,Headphones,Refund Issue,Refund not received for returned Headphones.,Low,Satisfied,Gold,Debit Card,Ekart,Phone,Bengaluru,Customer Support,Escalated,No,Yes,53,Escalate to finance support and verify refund status.,2026-04-26 08:08:26
BEN-TKT0116,CUST3574,ORD89330,Laptop Bag,App Issue,Checkout page freezes while ordering Laptop Bag.,High,Frustrated,Platinum,Credit Card,BlueDart,Email,Bengaluru,Customer Support,Open,Yes,No,25,Escalate to technical support for debugging.,2026-05-21 01:08:26
PUN-TKT0117,CUST4084,ORD90181,Bluetooth Speaker,Cancellation Issue,Cancelled order is still active.,Low,Neutral,Gold,UPI,Delhivery,Mobile App,Pune,Customer Support,In Progress,Yes,Yes,8,Verify cancellation eligibility and process request.,2026-05-03 17:08:26
PUN-TKT0118,CUST5473,ORD84628,Shoes,Damaged Item,The delivered Shoes is defective.,Medium,Neutral,Silver,UPI,XpressBees,Chat,Pune,Payment Support,In Progress,No,No,59,Initiate return pickup and offer replacement/refund.,2026-04-26 14:08:26
BEN-TKT0119,CUST6187,ORD12927,Mobile Charger,Payment Issue,Payment deducted for Mobile Charger but order failed.,Medium,Neutral,Platinum,UPI,Delhivery,Phone,Bengaluru,Payment Support,Resolved,No,Yes,61,Check payment gateway logs and transaction ID.,2026-05-09 03:08:26
DEL-TKT0120,CUST3392,ORD43824,Shoes,Stock Issue,Shoes unavailable after payment.,Critical,Frustrated,Platinum,Debit Card,Ekart,Phone,Delhi,Customer Support,Open,No,Yes,26,Validate inventory sync and suggest alternatives.,2026-05-23 08:08:26
BEN-TKT0121,CUST7142,ORD53825,Smartwatch,Payment Issue,Transaction failed during Smartwatch purchase.,High,Satisfied,Silver,Wallet,Ekart,Phone,Bengaluru,Technical Support,Escalated,Yes,Yes,20,Check payment gateway logs and transaction ID.,2026-05-16 15:08:26
PUN-TKT0122,CUST7313,ORD31881,Shoes,Stock Issue,Shoes became out of stock after ordering.,Critical,Neutral,Gold,UPI,Delhivery,Email,Pune,Warehouse Operations,Open,No,No,4,Validate inventory sync and suggest alternatives.,2026-05-16 18:08:26
DEL-TKT0123,CUST6212,ORD45100,Shoes,App Issue,Checkout page freezes while ordering Shoes.,High,Frustrated,Platinum,UPI,Delhivery,Email,Delhi,Payment Support,Escalated,Yes,Yes,13,Escalate to technical support for debugging.,2026-05-15 22:08:26
MUM-TKT0124,CUST9674,ORD24675,Bluetooth Speaker,App Issue,Checkout page freezes while ordering Bluetooth Speaker.,Low,Satisfied,Gold,Debit Card,Delhivery,Phone,Mumbai,Technical Support,Resolved,Yes,Yes,22,Escalate to technical support for debugging.,2026-04-26 19:08:26
BEN-TKT0125,CUST6455,ORD56966,Mobile Charger,Order Delay,Delivery for my Mobile Charger is delayed.,High,Neutral,Platinum,Credit Card,BlueDart,Chat,Bengaluru,Technical Support,Resolved,No,No,29,Escalate to logistics support and provide updated ETA.,2026-05-12 16:08:26
CHE-TKT0126,CUST7975,ORD83886,Smartwatch,Cancellation Issue,Cancelled order is still active.,Low,Satisfied,Gold,Debit Card,Ekart,Chat,Chennai,Customer Support,Resolved,No,No,52,Verify cancellation eligibility and process request.,2026-05-19 21:08:26
DEL-TKT0127,CUST1115,ORD48501,Jeans,Wrong Item,Incorrect Jeans was delivered.,High,Neutral,Platinum,Debit Card,XpressBees,Phone,Delhi,Logistics Team,Resolved,No,Yes,68,Arrange replacement pickup and warehouse verification.,2026-05-24 08:08:26
BEN-TKT0128,CUST8795,ORD61342,Jeans,Refund Issue,Refund process for Jeans is delayed.,Critical,Satisfied,Gold,UPI,XpressBees,Email,Bengaluru,Customer Support,In Progress,No,Yes,66,Escalate to finance support and verify refund status.,2026-05-09 21:08:26
CHE-TKT0129,CUST1174,ORD43143,Smartwatch,App Issue,Retail app crashes during Smartwatch purchase.,Low,Frustrated,Silver,Credit Card,Delhivery,Phone,Chennai,Logistics Team,Resolved,Yes,Yes,71,Escalate to technical support for debugging.,2026-05-12 18:08:26
BEN-TKT0130,CUST3499,ORD22655,Shoes,Stock Issue,Inventory issue detected for Shoes.,High,Angry,Silver,Debit Card,BlueDart,Email,Bengaluru,Payment Support,Resolved,Yes,Yes,64,Validate inventory sync and suggest alternatives.,2026-05-16 20:08:26
MUM-TKT0131,CUST2825,ORD21936,Bluetooth Speaker,Refund Issue,Refund for my Bluetooth Speaker is still pending.,Critical,Frustrated,Platinum,Wallet,BlueDart,Mobile App,Mumbai,Technical Support,Open,Yes,No,29,Escalate to finance support and verify refund status.,2026-05-06 08:08:26
CHE-TKT0132,CUST4044,ORD19744,Bluetooth Speaker,Damaged Item,The delivered Bluetooth Speaker is defective.,Low,Angry,Gold,UPI,BlueDart,Mobile App,Chennai,Customer Support,Escalated,Yes,No,25,Initiate return pickup and offer replacement/refund.,2026-05-08 00:08:26
CHE-TKT0133,CUST8042,ORD22050,Jeans,Order Delay,Shipment tracking for my Jeans has not updated.,Low,Satisfied,Gold,Wallet,Ekart,Phone,Chennai,Logistics Team,In Progress,Yes,Yes,5,Escalate to logistics support and provide updated ETA.,2026-05-06 06:08:26
BEN-TKT0134,CUST8649,ORD30785,Shoes,App Issue,Checkout page freezes while ordering Shoes.,High,Neutral,Platinum,Debit Card,Delhivery,Email,Bengaluru,Technical Support,In Progress,Yes,No,19,Escalate to technical support for debugging.,2026-05-16 11:08:26
BEN-TKT0135,CUST6668,ORD54786,Bluetooth Speaker,Cancellation Issue,Cancelled order is still active.,Medium,Neutral,Silver,UPI,XpressBees,Phone,Bengaluru,Payment Support,In Progress,No,Yes,30,Verify cancellation eligibility and process request.,2026-05-03 11:08:26
BEN-TKT0136,CUST2609,ORD70050,Smartwatch,Wrong Item,Delivered item does not match my order.,Medium,Neutral,Silver,Wallet,XpressBees,Mobile App,Bengaluru,Logistics Team,In Progress,No,No,3,Arrange replacement pickup and warehouse verification.,2026-05-09 13:08:26
BEN-TKT0137,CUST2747,ORD81090,Headphones,Order Delay,My order for Headphones has not been delivered yet.,Low,Satisfied,Gold,Wallet,Ekart,Email,Bengaluru,Warehouse Operations,Open,Yes,No,4,Escalate to logistics support and provide updated ETA.,2026-05-20 04:08:26
BEN-TKT0138,CUST6953,ORD98804,Jeans,Refund Issue,Refund for my Jeans is still pending.,Medium,Frustrated,Silver,Debit Card,Ekart,Phone,Bengaluru,Warehouse Operations,In Progress,Yes,Yes,28,Escalate to finance support and verify refund status.,2026-04-29 11:08:26
DEL-TKT0139,CUST1492,ORD72708,Shoes,Order Delay,Shipment tracking for my Shoes has not updated.,Critical,Neutral,Gold,Credit Card,Delhivery,Mobile App,Delhi,Warehouse Operations,Resolved,Yes,Yes,50,Escalate to logistics support and provide updated ETA.,2026-05-17 23:08:26
PUN-TKT0140,CUST5069,ORD69662,Tablet,Stock Issue,Tablet became out of stock after ordering.,Critical,Neutral,Silver,Debit Card,Ekart,Mobile App,Pune,Payment Support,Escalated,No,Yes,57,Validate inventory sync and suggest alternatives.,2026-05-02 18:08:26
PUN-TKT0141,CUST8918,ORD96996,Shoes,Stock Issue,Shoes became out of stock after ordering.,High,Angry,Gold,Debit Card,Delhivery,Chat,Pune,Customer Support,In Progress,Yes,No,67,Validate inventory sync and suggest alternatives.,2026-05-08 15:08:26
CHE-TKT0142,CUST1756,ORD28441,Headphones,Order Delay,My order for Headphones has not been delivered yet.,Medium,Satisfied,Gold,Wallet,XpressBees,Phone,Chennai,Technical Support,Resolved,No,Yes,54,Escalate to logistics support and provide updated ETA.,2026-05-06 20:08:26
CHE-TKT0143,CUST8034,ORD88061,Bluetooth Speaker,Cancellation Issue,Cancellation request failed for Bluetooth Speaker.,Medium,Angry,Gold,Wallet,Ekart,Phone,Chennai,Technical Support,In Progress,Yes,Yes,49,Verify cancellation eligibility and process request.,2026-04-25 00:08:26
BEN-TKT0144,CUST1221,ORD86296,Bluetooth Speaker,Refund Issue,Refund for my Bluetooth Speaker is still pending.,Medium,Neutral,Platinum,UPI,Ekart,Mobile App,Bengaluru,Logistics Team,Open,Yes,No,48,Escalate to finance support and verify refund status.,2026-05-08 00:08:26
BEN-TKT0145,CUST6621,ORD66914,Tablet,Refund Issue,Refund for my Tablet is still pending.,High,Satisfied,Silver,Wallet,Ekart,Email,Bengaluru,Technical Support,In Progress,Yes,No,20,Escalate to finance support and verify refund status.,2026-05-19 06:08:26
BEN-TKT0146,CUST7502,ORD68420,Bluetooth Speaker,Stock Issue,Bluetooth Speaker became out of stock after ordering.,Medium,Neutral,Platinum,UPI,XpressBees,Chat,Bengaluru,Logistics Team,Escalated,No,No,32,Validate inventory sync and suggest alternatives.,2026-05-11 23:08:26
PUN-TKT0147,CUST9113,ORD63270,Tablet,Cancellation Issue,Unable to cancel my Tablet order.,Low,Neutral,Silver,Credit Card,BlueDart,Phone,Pune,Technical Support,Escalated,No,No,20,Verify cancellation eligibility and process request.,2026-05-14 22:08:26
PUN-TKT0148,CUST3804,ORD41562,Jeans,Damaged Item,The Jeans arrived damaged and unusable.,Critical,Angry,Platinum,Debit Card,BlueDart,Email,Pune,Customer Support,Resolved,Yes,No,60,Initiate return pickup and offer replacement/refund.,2026-05-19 06:08:26
BEN-TKT0149,CUST3030,ORD60249,Smartwatch,Damaged Item,Packaging for Smartwatch was broken.,High,Neutral,Platinum,Debit Card,Delhivery,Phone,Bengaluru,Logistics Team,Resolved,Yes,Yes,24,Initiate return pickup and offer replacement/refund.,2026-05-13 12:08:26
MUM-TKT0150,CUST6731,ORD59325,Laptop Bag,Damaged Item,The Laptop Bag arrived damaged and unusable.,Low,Satisfied,Platinum,Credit Card,Ekart,Email,Mumbai,Logistics Team,Escalated,No,No,58,Initiate return pickup and offer replacement/refund.,2026-05-20 08:08:26
